NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
557404;4;305;1;17.7;Cx;18;0;20;5102;61.11
557405;1;170;10;32.94;Kg;12;0;0;5102;0
557405;2;117;0.508;86.9;Kg;18;0;20;5102;33.33
557405;3;267;12;26.74;Un;18;0;20;5102;33.33
557406;1;425;1;174.93;Un;18;0;20;5102;61.11
557407;1;500;15;38.71;Kg;18;3;20;5102;61.11
557407;2;505;10;21.83;Kg;18;3;20;5102;61.11
557407;3;509;6.02;9;Kg;18;3;20;5102;61.11
557407;4;510;5;18.65;Kg;18;3;20;5102;61.11
557407;5;508;2.33;11.8;Kg;18;3;20;5102;61.11
557408;1;290;3.43;25.05;Kg;18;3;20;5102;33.33
557408;2;315;0.53;27.84;Kg;18;3;20;5102;33.33
557408;3;267;2;26.74;Un;18;3;20;5102;33.33
557408;4;122;8.4;38.99;Kg;12;3;0;5102;0
557408;5;148;8.64;41.18;Kg;12;3;0;5102;0
557409;1;232;5;24.57;Kg;0;0;60;5405;0
557410;1;482;4;4.12;Un;12;0;0;5102;0
557410;2;170;5;32.94;Kg;12;0;0;5102;0
557410;3;352;4;17.48;Un;18;0;0;5102;0
557410;4;105;4;16.8;Un;18;0;20;5102;33.33
557410;5;801;3.8;47.06;Kg;18;0;20;5102;33.33
557410;6;164;3.254;66.84;Kg;18;0;20;5102;33.33
558082;1;167;2.89;49.84;Kg;18;0;20;5102;33.33
558082;2;117;7.25;62.5;Kg;18;0;20;5102;33.33
558082;3;313;1;23.2;Kg;18;0;20;5102;33.33
558082;4;485;1;83.54;Kg;18;0;0;5102;0
557411;1;465;12;55.06;Un;0;2;0;5102;0
557412;1;290;3.518;25.05;Kg;18;3;20;5102;33.33
557412;2;314;3;83.52;Un;18;3;20;5102;33.33
557412;3;325;0.5;64.86;Kg;18;3;20;5102;33.33
557412;4;315;1.1;27.84;Kg;18;3;20;5102;33.33
557412;5;316;1.1;14.5;Kg;18;3;20;5102;33.33
557412;6;194;1.07;55.26;Kg;12;3;0;5102;0
557412;7;267;2;26.74;Un;18;3;20;5102;33.33
557412;8;159;23.712;40.37;Kg;18;3;20;5102;33.33
557413;1;325;0.55;64.86;Kg;18;3;20;5102;33.33
557413;2;314;2;83.52;Un;18;3;20;5102;33.33
557413;3;267;1;26.74;Un;18;3;20;5102;33.33
557413;4;159;11.95;40.37;Kg;18;3;20;5102;33.33
557413;5;194;1.2;55.26;Kg;12;3;0;5102;0
557414;1;198;8;12.92;Un;18;0;20;5102;33.33
557414;2;122;4.2;38.99;Kg;12;0;0;5102;0
557414;3;148;3.04;41.18;Kg;12;0;0;5102;0
557414;4;121;1.98;32.2;Kg;18;0;20;5102;33.33
557414;5;181;1.53;42.12;Kg;18;0;20;5102;33.33
557414;6;156;1;39.72;Un;18;0;20;5102;33.33
557414;7;267;1;26.74;Un;18;0;20;5102;33.33
557414;8;124;3;16.47;Un;18;0;20;5102;33.33
557414;9;319;1;44.08;Bd;18;0;20;5102;33.33
557414;10;313;1.1;23.2;Kg;18;0;20;5102;33.33
557415;1;159;23.787;40.37;Kg;18;0;20;5102;33.33
557415;2;114;20.679;41.53;Kg;18;0;20;5102;33.33
557415;3;217;20.7;29.37;Kg;0;0;60;5405;0
557415;4;180;3.265;47.83;Kg;18;0;20;5102;33.33
557415;5;503;10;43.7;Kg;18;0;20;5102;61.11
557415;6;230;7.5;24.57;Kg;0;0;60;5405;0
557415;7;254;2.375;102.35;Kg;0;0;60;5405;0
557415;8;992;60;5.9;Lt;12;2;60;5405;0
557415;9;418;20;8.19;Kg;18;0;20;5102;33.33
557415;10;117;7.47;61.48;Kg;18;0;20;5102;33.33
558083;1;122;16.45;43.39;Kg;12;0;0;5102;0
558084;1;122;8.46;43.39;Kg;12;3;0;5102;0
