CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1421;1;9;Cliente 1421;SÃO PAULO;SP;3550308;2;-1;14
1423;1;9;Cliente 1423;SÃO PAULO;SP;3550308;2;0;19
1424;1;27;Cliente 1424;SÃO PAULO;SP;3550308;2;-1;14
1425;1;9;Cliente 1425;SÃO PAULO;SP;3550308;2;-1;14
1426;1;27;Cliente 1426;SÃO PAULO;SP;3550308;2;-1;14
1427;1;9;Cliente 1427;SÃO PAULO;SP;3550308;2;-1;21
1428;1;9;Cliente 1428;SÃO PAULO;SP;3550308;2;-1;14
1429;1;27;Cliente 1429;SÃO PAULO;SP;3550308;2;-1;14
1430;1;11;Cliente 1430;SÃO PAULO;SP;3550308;2;-1;14
1431;1;28;Cliente 1431;SÃO PAULO;SP;3550308;2;-1;14
1432;1;32;Cliente 1432;SÃO PAULO;SP;3550308;2;-1;7
1433;1;9;Cliente 1433;SÃO PAULO;SP;3550308;2;-1;14
1434;1;11;Cliente 1434;SÃO PAULO;SP;3550308;2;0;
1435;1;9;Cliente 1435;SÃO PAULO;SP;3550308;2;-1;14
1436;1;4;Cliente 1436;UBATUBA;SP;3555406;1;-1;7
1437;1;27;Cliente 1437;SÃO PAULO;SP;3550308;2;-1;14
1438;1;27;Cliente 1438;SÃO PAULO;SP;3550308;2;-1;14
1439;1;9;Cliente 1439;SÃO PAULO;SP;3550308;2;-1;28
1440;1;30;Cliente 1440;SÃO PAULO;SP;3550308;2;-1;14
1441;1;9;Cliente 1441;SÃO PAULO;SP;3550308;2;-1;14
1442;1;27;Cliente 1442;SÃO PAULO;SP;3550308;2;-1;10
1443;1;27;Cliente 1443;SÃO PAULO;SP;3550308;2;-1;14
1444;1;30;Cliente 1444;SÃO PAULO;SP;3550308;2;-1;14
1445;1;9;Cliente 1445;SÃO PAULO;SP;3550308;2;-1;14
1446;1;28;Cliente 1446;SÃO PAULO;SP;3550308;2;-1;7
1447;1;9;Cliente 1447;SÃO PAULO;SP;3550308;2;-1;14
1448;1;9;Cliente 1448;SÃO PAULO;SP;3550308;2;0;0
1449;1;9;Cliente 1449;SÃO PAULO;SP;3550308;2;-1;7
1450;1;30;Cliente 1450;SÃO PAULO;SP;3550308;2;-1;14
1451;1;28;Cliente 1451;SÃO PAULO;SP;3550308;2;-1;14
1452;1;9;Cliente 1452;SÃO PAULO;SP;3550308;2;-1;14
1453;1;9;Cliente 1453;SÃO PAULO;SP;3550308;2;0;0
1454;1;28;Cliente 1454;SÃO PAULO;SP;3550308;2;-1;14
1455;1;27;Cliente 1455;SÃO PAULO;SP;3550308;2;-1;14
1456;1;27;Cliente 1456;SÃO PAULO;SP;3550308;2;-1;14
1457;1;9;Cliente 1457;SÃO PAULO;SP;3550308;2;-1;14
1458;1;9;Cliente 1458;SAO PAULO;SP;3522505;2;0;0
1460;1;9;Cliente 1460;SÃO PAULO;SP;3550308;2;-1;14
1461;1;9;Cliente 1461;SÃO PAULO;SP;3550308;2;0;0
1462;1;9;Cliente 1462;SÃO PAULO;SP;3550308;2;-1;14
1463;1;11;Cliente 1463;SÃO PAULO;SP;3550308;2;0;0
1464;1;9;Cliente 1464;SÃO PAULO;SP;3550308;2;0;
1465;1;27;Cliente 1465;SÃO PAULO;SP;3550308;2;-1;7
1466;1;9;Cliente 1466;SÃO PAULO;SP;3550308;2;-1;14
1467;1;28;Cliente 1467;SÃO PAULO;SP;3550308;2;0;0
1469;1;4;Cliente 1469;UBATUBA;SP;3555406;2;-1;14
1470;1;4;Cliente 1470;SÃO PAULO;SP;3550308;2;-1;14
1471;1;32;Cliente 1471;SÃO PAULO;SP;3550308;2;-1;14
